FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
175	60773	459	396	590	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
176	61232	179	437	593	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
177	61411	339	473	594	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
178	61750	219	514	588	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
179	61969	159	560	336	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
180	62128	259	518	234	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
181	62388	120	567	205	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
182	62507	439	473	361	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
183	62946	219	509	434	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
184	63165	459	590	436	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
185	63624	399	690	436	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
186	64023	179	433	607	ScreenRec
187	64202	1017	60	712	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
188	65219	279	515	523	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
189	65498	239	429	488	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
190	65737	160	499	284	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
191	65897	339	556	216	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
192	66236	219	401	314	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
193	66455	399	418	612	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
194	66854	658	394	655	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
195	67512	578	449	646	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
196	68090	478	447	421	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
197	68568	698	428	296	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
